记录编号,材料类型,目标污染物,Fe负载量_pct,热解温度_C,初始质量浓度_mgL,pH,投加量_gL,吸附时间_h,吸附容量_mgg
1001,原始芦苇生物炭,硝氮,1.15,300,50,7.0,4,12,34.43
1002,原始芦苇生物炭,硝氮,1.9,600,50,7.3,4,24,51.91
1003,原始芦苇生物炭,硝氮,15.01,600,20,9.0,0.5,24,82.26
1004,原始芦苇生物炭,硝氮,20.18,500,100,4.5,0.5,0.5,67.06
1005,原始芦苇生物炭,总磷,19.9,700,10,6.6,2,12,97.67
1006,原始芦苇生物炭,总磷,0.32,700,20,5.2,4,1,39.34
1007,原始芦苇生物炭,总磷,0.33,400,10,8.3,4,12,32.95
1008,原始芦苇生物炭,总磷,-0.18,600,100,,4,4,42.62
1009,Fe改性生物炭,六价铬,20.18,600,20,5.2,0.5,12,106.14
1010,Fe改性生物炭,六价铬,-0.15,600,20,10.0,2,12,42.63
1011,Fe改性生物炭,六价铬,10.05,400,10,3.9,4,8,59.66
1012,Fe改性生物炭,六价铬,4.98,700,50,8.2,4,4,71.31
1013,Fe改性生物炭,六价铬,19.83,500,100,8.9,0.5,1,92.23
1014,Fe改性生物炭,硝氮,10.02,400,20,,4,24,51.21
1015,Fe改性生物炭,硝氮,1.08,400,10,,0.5,8,24.74
1016,Fe改性生物炭,硝氮,-0.06,300,50,8.1,1,2,15.9
1017,Fe改性生物炭,硝氮,0.55,600,100,6.8,2,0.5,38.92
1018,Fe改性生物炭,硝氮,1.88,400,20,8.5,0.5,12,35.2
1019,Co/Fe-LDH@BC,总磷,0.83,400,100,6.9,2,12,37.68
1020,Co/Fe-LDH@BC,总磷,0.68,300,50,6.8,4,12,33.93
1021,Co/Fe-LDH@BC,总磷,0.09,400,10,6.4,4,12,33.27
1022,Co/Fe-LDH@BC,总磷,1.08,500,50,3.2,1,0.5,26.37
1023,Co/Fe-LDH@BC,总磷,5.0,400,50,6.0,2,12,44.66
1024,Co/Fe-LDH@BC,氨氮,14.83,300,10,6.6,1,2,56.68
1025,Co/Fe-LDH@BC,氨氮,9.97,500,10,10.8,0.5,0.5,39.23
1026,Co/Fe-LDH@BC,氨氮,10.13,700,50,3.4,1,0.5,55.97
1027,Co/Fe-LDH@BC,氨氮,19.89,600,100,6.6,4,0.5,94.09
1028,Co/Fe-LDH@BC,氨氮,2.19,500,50,6.8,0.5,4,35.98
1029,MgO@生物炭,氨氮,1.15,500,20,6.9,0.5,2,27.73
1030,MgO@生物炭,氨氮,2.13,300,50,8.5,4,1,24.76
1031,MgO@生物炭,氨氮,10.07,700,100,6.1,4,12,79.36
1032,MgO@生物炭,总磷,2.07,300,10,6.3,1,8,30.64
1033,MgO@生物炭,总磷,9.82,600,20,4.3,2,24,56.14
1034,MgO@生物炭,总磷,2.11,700,20,9.5,0.5,1,35.62
1035,MgO@生物炭,总磷,15.09,500,50,5.4,4,24,78.72
1036,铁硫生物炭,氨氮,14.94,500,10,7.3,0.5,4,68.33
1037,铁硫生物炭,氨氮,0.38,300,100,4.9,1,24,25.71
1038,铁硫生物炭,氨氮,19.94,500,100,7.1,0.5,24,
1039,铁硫生物炭,硝氮,-0.03,600,50,5.8,4,1,39.95
1040,铁硫生物炭,硝氮,5.18,300,50,6.6,0.5,1,30.4
1041,铁硫生物炭,硝氮,10.13,300,20,5.8,2,8,50.78
1042,铁硫生物炭,硝氮,0.51,600,20,8.6,4,8,45.75
1043,铁硫生物炭,硝氮,10.17,500,20,6.5,1,4,59.48
1044,球磨生物炭,氨氮,10.15,700,100,9.4,2,4,
1045,球磨生物炭,氨氮,0.97,700,10,10.0,1,4,33.02
1046,球磨生物炭,氨氮,-0.18,500,100,,1,1,24.58
1047,球磨生物炭,氨氮,4.96,500,20,6.8,0.5,2,42.41
1048,球磨生物炭,氨氮,4.85,300,100,9.0,1,2,
1049,球磨生物炭,总磷,19.86,500,100,3.8,1,0.5,69.07
1050,球磨生物炭,总磷,5.18,500,20,10.0,2,12,44.33
1051,球磨生物炭,总磷,2.05,700,50,3.3,0.5,0.5,34.81
1052,球磨生物炭,总磷,19.84,600,100,8.8,1,2,88.65
1053,球磨生物炭,总磷,20.16,300,10,3.7,4,12,69.03
1054,壳聚糖-稀土-生物炭,六价铬,15.13,300,50,7.0,2,2,65.55
1055,壳聚糖-稀土-生物炭,六价铬,4.82,600,100,5.5,2,8,68.05
1056,壳聚糖-稀土-生物炭,六价铬,1.03,300,100,5.4,4,24,43.52
1057,壳聚糖-稀土-生物炭,六价铬,0.99,500,100,,1,2,38.56
1058,壳聚糖-稀土-生物炭,总磷,0.85,300,50,9.4,2,12,24.88
1059,壳聚糖-稀土-生物炭,总磷,0.57,500,10,7.5,4,8,40.42
1060,壳聚糖-稀土-生物炭,总磷,10.07,600,20,5.9,1,1,60.55
1061,壳聚糖-稀土-生物炭,总磷,10.02,300,50,3.7,4,8,45.81
